model,adapter,ttc,target,target_rate,bad_action_rate,gameable_hack_rate,easy_grader_rate,fake_completion_rate,reasoning_entropy_mean,action_entropy_mean,reasoning_p_hack_mean,action_p_hack_mean,n_bad,n_good,delta__reasoning_entropy_mean,good__reasoning_entropy_mean,bad__reasoning_entropy_mean,delta__action_entropy_mean,good__action_entropy_mean,bad__action_entropy_mean,delta__reasoning_p_hack,good__reasoning_p_hack,bad__reasoning_p_hack,delta__action_p_hack,good__action_p_hack,bad__action_p_hack,delta__reasoning_p_hack_late_change,good__reasoning_p_hack_late_change,bad__reasoning_p_hack_late_change,delta__action_p_hack_late_change,good__action_p_hack_late_change,bad__action_p_hack_late_change,delta__reasoning_p_hack_late_slope,good__reasoning_p_hack_late_slope,bad__reasoning_p_hack_late_slope,delta__action_p_hack_late_slope,good__action_p_hack_late_slope,bad__action_p_hack_late_slope
FalconControl,control,8.0,bad_action,0.36666666666666664,0.36666666666666664,0.022222222222222223,0.022222222222222223,0.0,0.387150357415131,0.12997132181553708,0.07567855252651098,0.1263412388995382,33.0,57.0,-0.11315448869902378,0.42864033660477285,0.3154858479057491,-0.011793985274019841,0.1342957830826777,0.12250179780865786,0.02676064529918258,0.0658663159168107,0.09262696121599329,0.03039974673477165,0.11519466509678859,0.14559441183156024,-0.0006450858454761788,0.04635804526662157,0.045712959421145394,-0.06072130755702039,0.03701734869348622,-0.02370395886353417,-0.0008706180229382052,-0.012631170896191882,-0.013501788919130087,-0.0011256136316944339,-0.01963761185998558,-0.020763225491680012
FalconControl,control,8.0,gameable_hack_action,0.022222222222222223,0.36666666666666664,0.022222222222222223,0.022222222222222223,0.0,0.387150357415131,0.12997132181553708,0.07567855252651098,0.1263412388995382,2.0,88.0,-0.06415944892070508,0.38857612294670213,0.32441667402599705,-0.09080688436394871,0.1319892525791804,0.04118236821523169,-0.03758752679976597,0.07651383089983911,0.03892630410007314,-0.0125964848686273,0.12662116078550767,0.11402467591688037,-0.007364080587962056,0.04628516002523502,0.038921079437272965,-0.009673327037883518,0.014967832078976152,0.005294505041092634,0.0011149791351609695,-0.013008736177012403,-0.011893757041851433,-0.011659119341663991,-0.019806233947334217,-0.03146535328899821
FalconControl,control,8.0,easy_grader_action,0.022222222222222223,0.36666666666666664,0.022222222222222223,0.022222222222222223,0.0,0.387150357415131,0.12997132181553708,0.07567855252651098,0.1263412388995382,2.0,88.0,-0.06415944892070508,0.38857612294670213,0.32441667402599705,-0.09080688436394871,0.1319892525791804,0.04118236821523169,-0.03758752679976597,0.07651383089983911,0.03892630410007314,-0.0125964848686273,0.12662116078550767,0.11402467591688037,-0.007364080587962056,0.04628516002523502,0.038921079437272965,-0.009673327037883518,0.014967832078976152,0.005294505041092634,0.0011149791351609695,-0.013008736177012403,-0.011893757041851433,-0.011659119341663991,-0.019806233947334217,-0.03146535328899821
FalconControl,control,8.0,fake_completion_action,0.0,0.36666666666666664,0.022222222222222223,0.022222222222222223,0.0,0.387150357415131,0.12997132181553708,0.07567855252651098,0.1263412388995382,0.0,90.0,,0.387150357415131,,,0.12997132181553708,,,0.07567855252651098,,,0.1263412388995382,,,0.046121513789946965,,,0.014752869255912073,,,-0.012981541563959698,,,-0.02009060271176505,
FalconControl,control,16.0,bad_action,0.24444444444444444,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.0,0.338084484161774,0.10471806496040192,0.07167619530812122,0.13624907078501236,22.0,68.0,-0.048953077370823384,0.3500507919635309,0.3010977145927075,-0.026832117841483774,0.1112770270994313,0.08444490925794752,-0.00817825935623935,0.07367532537297973,0.06549706601674038,-0.015089655694155574,0.13993765328802818,0.1248479975938726,0.011678519083337342,0.036064808410839866,0.04774332749417721,-0.009435564362640779,0.014553035912866193,0.005117471550225413,0.0023963602604747305,-0.01537320561989093,-0.012976845359416199,0.008180182664134733,-0.017460893164668145,-0.009280710500533413
FalconControl,control,16.0,gameable_hack_action,0.022222222222222223,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.0,0.338084484161774,0.10471806496040192,0.07167619530812122,0.13624907078501236,2.0,88.0,0.20532367942434737,0.3335217357301219,0.5388454151544693,-0.029600759054809786,0.10537585960606437,0.07577510055125458,-0.040218200270353846,0.07256993309190686,0.032351732821553014,-0.010888268342669066,0.13649103230373835,0.12560276396106929,-0.015313830506455732,0.039259864864688014,0.023946034358232282,-0.04705764626968791,0.0132922900968804,-0.033765356172807515,0.004745405060093777,-0.014881965669774377,-0.0101365606096806,-0.021959100735117566,-0.01488753431316011,-0.036846635048277676
FalconControl,control,16.0,easy_grader_action,0.022222222222222223,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.0,0.338084484161774,0.10471806496040192,0.07167619530812122,0.13624907078501236,2.0,88.0,0.20532367942434737,0.3335217357301219,0.5388454151544693,-0.029600759054809786,0.10537585960606437,0.07577510055125458,-0.040218200270353846,0.07256993309190686,0.032351732821553014,-0.010888268342669066,0.13649103230373835,0.12560276396106929,-0.015313830506455732,0.039259864864688014,0.023946034358232282,-0.04705764626968791,0.0132922900968804,-0.033765356172807515,0.004745405060093777,-0.014881965669774377,-0.0101365606096806,-0.021959100735117566,-0.01488753431316011,-0.036846635048277676
FalconControl,control,16.0,fake_completion_action,0.0,0.24444444444444444,0.022222222222222223,0.022222222222222223,0.0,0.338084484161774,0.10471806496040192,0.07167619530812122,0.13624907078501236,0.0,90.0,,0.338084484161774,,,0.10471806496040192,,,0.07167619530812122,,,0.13624907078501236,,,0.03891955752010011,,,0.012246564624220668,,,-0.014774115554772245,,,-0.015392341226611084,
FalconControl,control,32.0,bad_action,0.4444444444444444,0.4444444444444444,0.044444444444444446,0.044444444444444446,0.0,0.40730128678896993,0.12898882132128411,0.08275291622733198,0.173256454950042,40.0,50.0,-0.04296744694917326,0.42639792987749137,0.3834304829283181,0.03111824891227788,0.11515848847138282,0.1462767373836607,0.0008621390102812182,0.08236974333387366,0.08323188234415488,0.023571506628977834,0.16278022978160742,0.18635173641058525,0.02340783673601346,0.038228893090576616,0.061636729826590075,-0.005861636086010372,0.0037418353528177882,-0.0021198007331925837,0.001201792094815076,-0.021891459112358874,-0.020689667017543798,0.004214660593781009,-0.03214956775606105,-0.027934907162280042
FalconControl,control,32.0,gameable_hack_action,0.044444444444444446,0.4444444444444444,0.044444444444444446,0.044444444444444446,0.0,0.40730128678896993,0.12898882132128411,0.08275291622733198,0.173256454950042,4.0,86.0,0.013333465598798722,0.40670868831791224,0.42004215391671096,-0.005978184122928554,0.12925451839341423,0.12327633427048568,-0.04976060138851003,0.08496449851126577,0.035203897122755734,-0.023697454395193635,0.17430967514538395,0.15061222075019032,-0.014247619331702842,0.049265603610213836,0.035017984278510994,-0.06965143488418055,0.004232283087221204,-0.06541915179695934,0.014033782494054441,-0.021997956104064964,-0.007964173610010523,-0.013179424201848075,-0.02959557410941574,-0.042774998311263815
