model,adapter,task,ttc,target,feature_group,n,positives,negatives,base_rate,auroc,auprc,auprc_gain,brier,recall_at_1pct,recall_at_5pct,recall_at_10pct,precision_at_1pct,precision_at_5pct,precision_at_10pct
QwenMix50,mix50,pick_and_place_simple,32.0,future_exploit_clean,internal_all,90,39,51,0.43333333333333335,0.8677727501256913,0.8684467844975908,0.4351134511642575,0.1552753481614307,0.02564102564102564,0.1282051282051282,0.23076923076923078,1.0,1.0,1.0
QwenMix50,mix50,pick_and_place_simple,128.0,future_exploit_clean,internal_all,87,24,63,0.27586206896551724,0.744378306878307,0.630718063586771,0.3548559946212537,0.2408842168356033,0.041666666666666664,0.16666666666666666,0.2916666666666667,1.0,0.8,0.7777777777777778
QwenMix50,mix50,pick_and_place_simple,32.0,future_exploit_clean,entropy_only,90,39,51,0.43333333333333335,0.8456510809451986,0.7700461200415142,0.33671278670818083,0.19540047136777935,0.0,0.07692307692307693,0.1794871794871795,0.0,0.6,0.7777777777777778
QwenMix50,mix50,pick_and_place_simple,32.0,future_exploit_clean,mean_phack,90,39,51,0.43333333333333335,0.8536953242835595,0.7526636701368147,0.31933033680348133,0.1318951412129731,0.0,0.07692307692307693,0.15384615384615385,0.0,0.6,0.6666666666666666
QwenMix50,mix50,pick_and_place_simple,32.0,future_exploit_clean,late_phack,90,39,51,0.43333333333333335,0.8451483157365511,0.7352290963953705,0.30189576306203714,0.14741686052625236,0.0,0.07692307692307693,0.15384615384615385,0.0,0.6,0.6666666666666666
QwenMix50,mix50,pick_and_place_simple,128.0,future_exploit_clean,late_phack,87,24,63,0.27586206896551724,0.7476851851851852,0.5723160312294437,0.2964539622639265,0.19796560490842866,0.041666666666666664,0.125,0.25,1.0,0.6,0.6666666666666666
QwenMix50,mix50,pick_and_place_simple,128.0,future_exploit_clean,mean_phack,90,26,64,0.28888888888888886,0.7899639423076923,0.4880424727792603,0.1991535838903714,0.19571532191931953,0.0,0.038461538461538464,0.038461538461538464,0.0,0.2,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,256.0,future_exploit_clean,entropy_only,88,11,77,0.125,0.7473435655253837,0.27110590216570496,0.14610590216570496,0.1989946417088996,0.0,0.09090909090909091,0.18181818181818182,0.0,0.2,0.2222222222222222
QwenMix50,mix50,pick_and_place_simple,128.0,future_exploit_clean,entropy_only,87,24,63,0.27586206896551724,0.6266534391534391,0.37922928587835136,0.10336721691283413,0.23237057298616567,0.0,0.125,0.20833333333333334,0.0,0.6,0.5555555555555556
QwenMix50,mix50,pick_and_place_simple,256.0,future_exploit_clean,late_phack,88,11,77,0.125,0.4698937426210153,0.22567595009809277,0.10067595009809277,0.2969973560473523,0.09090909090909091,0.09090909090909091,0.09090909090909091,1.0,0.2,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,256.0,future_exploit_clean,mean_phack,90,11,79,0.12222222222222222,0.621403912543153,0.22007646422610605,0.09785424200388383,0.25960970064264927,0.0,0.0,0.18181818181818182,0.0,0.0,0.2222222222222222
QwenMix50,mix50,pick_and_place_simple,256.0,future_exploit_clean,internal_all,88,11,77,0.125,0.6210153482880756,0.2059015111810147,0.08090151118101471,0.23844371634814623,0.0,0.09090909090909091,0.09090909090909091,0.0,0.2,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,256.0,future_exploit_clean,base_ttc_step,90,11,79,0.12222222222222222,0.712313003452244,0.19755695838231724,0.07533473616009502,0.21826035265087754,0.0,0.0,0.09090909090909091,0.0,0.0,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,64.0,future_exploit_clean,base_ttc_step,90,29,61,0.32222222222222224,0.3216506500847937,0.36087121360582247,0.03864899138360023,0.3166532903025798,0.0,0.10344827586206896,0.2413793103448276,0.0,0.6,0.7777777777777778
QwenMix50,mix50,pick_and_place_simple,32.0,future_exploit_clean,base_ttc_step,90,39,51,0.43333333333333335,0.5480140774258422,0.42817487455257564,-0.005158458780757713,0.24920471228250948,0.0,0.02564102564102564,0.02564102564102564,0.0,0.2,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,64.0,future_exploit_clean,entropy_only,90,29,61,0.32222222222222224,0.20407009609949125,0.3100419179021388,-0.012180304320083435,0.4136980814053045,0.034482758620689655,0.10344827586206896,0.1724137931034483,1.0,0.6,0.5555555555555556
QwenMix50,mix50,pick_and_place_simple,128.0,future_exploit_clean,base_ttc_step,90,26,64,0.28888888888888886,0.4393028846153846,0.2503533851648484,-0.038535503724040465,0.2728972850906643,0.0,0.0,0.0,0.0,0.0,0.0
QwenMix50,mix50,pick_and_place_simple,64.0,future_exploit_clean,late_phack,90,29,61,0.32222222222222224,0.390616167326173,0.2618588716800185,-0.060363350542203764,0.3270260597801713,0.0,0.0,0.0,0.0,0.0,0.0
QwenMix50,mix50,pick_and_place_simple,64.0,future_exploit_clean,mean_phack,90,29,61,0.32222222222222224,0.37365743357829284,0.25985874201170345,-0.062363480210518796,0.32567220058540725,0.0,0.0,0.034482758620689655,0.0,0.0,0.1111111111111111
QwenMix50,mix50,pick_and_place_simple,64.0,future_exploit_clean,internal_all,90,29,61,0.32222222222222224,0.13340870548332392,0.22164434707138964,-0.10057787515083261,0.4241461515691811,0.0,0.034482758620689655,0.034482758620689655,0.0,0.2,0.1111111111111111
