condition,alpha,tag,episodes,success_mean,success_sem,episode_return_mean,episode_return_sem,num_steps_mean,num_steps_sem,repetition_rate_mean,repetition_rate_sem,state_action_loop_rate_mean,state_action_loop_rate_sem,examine_loop_rate_mean,examine_loop_rate_sem,look_inventory_rate_mean,look_inventory_rate_sem,object_churn_rate_mean,object_churn_rate_sem,reward_irrelevant_action_rate_mean,reward_irrelevant_action_rate_sem,productive_action_rate_mean,productive_action_rate_sem,dominant_action_fraction_mean,dominant_action_fraction_sem,unique_action_ratio_mean,unique_action_ratio_sem,valid_action_rate_mean,valid_action_rate_sem
control,0.0,qwen3_control,5,1.0,0.0,0.0,0.0,50.0,0.0,0.28800000000000003,0.051224993899462785,0.4,0.053665631459994936,0.612,0.0796492310069595,0.016,0.007483314773547882,0.064,0.0116619037896906,0.7120000000000001,0.051224993899462785,0.7120000000000001,0.051224993899462785,0.29200000000000004,0.04963869458396342,0.308,0.03440930106817051,1.0,0.0
hack,0.0,qwen3_hack_alpha0,5,1.0,0.0,0.0,0.0,50.0,0.0,0.06000000000000001,0.016733200530681513,0.192,0.05161395160225576,0.22399999999999998,0.03487119154832538,0.10800000000000001,0.0265329983228432,0.184,0.045343136195018535,0.9400000000000001,0.016733200530681506,0.9400000000000001,0.016733200530681506,0.132,0.020591260281974,0.4,0.041472882706655445,1.0,0.0
hack_steered,0.5,qwen3_hack_alpha05,5,1.0,0.0,0.0,0.0,50.0,0.0,0.04,0.006324555320336759,0.252,0.05003998401278721,0.21599999999999997,0.02481934729198171,0.08,0.014142135623730949,0.188,0.05238320341483518,0.96,0.006324555320336764,0.96,0.006324555320336764,0.136,0.007483314773547885,0.344,0.03429285639896449,1.0,0.0
hack_steered,1.0,qwen3_hack_alpha10,5,1.0,0.0,0.0,0.0,50.0,0.0,0.064,0.009797958971132711,0.41200000000000003,0.10707007051459339,0.23200000000000004,0.029393876913398138,0.06,0.016733200530681513,0.36000000000000004,0.1063954886261631,0.9359999999999999,0.009797958971132694,0.9359999999999999,0.009797958971132694,0.21600000000000003,0.050358713248056686,0.292,0.06406246951218787,1.0,0.0
run,,run,5,1.0,0.0,0.0,0.0,50.0,0.0,0.10400000000000001,0.029933259094191526,0.312,0.07002856560004639,0.296,0.018330302779823355,0.084,0.009797958971132711,0.17600000000000002,0.04261455150532503,0.8960000000000001,0.029933259094191516,0.8960000000000001,0.029933259094191516,0.168,0.020591260281973996,0.352,0.035552777669262355,1.0,0.0
