model,adapter,task,ttc,target,feature_group,n,positives,base_rate,auroc,auprc
QwenControl,control,pick_and_place_simple,128.0,easy_grader_action,late_phack,384,2,0.005208333333333333,0.93717277486911,0.07936507936507936
QwenControl,control,pick_and_place_simple,128.0,easy_grader_action,entropy,384,2,0.005208333333333333,0.962041884816754,0.2833333333333333
QwenControl,control,pick_and_place_simple,128.0,easy_grader_action,all,384,2,0.005208333333333333,0.9842931937172774,0.5714285714285714
QwenControl,control,pick_and_place_simple,128.0,future_easy_grader_action,mean_phack,390,2,0.005128205128205128,0.03608247422680416,0.00397281459725592
QwenControl,control,pick_and_place_simple,128.0,future_easy_grader_action,late_phack,384,2,0.005208333333333333,0.15314136125654448,0.004529192357463652
QwenControl,control,pick_and_place_simple,128.0,future_easy_grader_action,entropy,384,2,0.005208333333333333,0.05759162303664922,0.004097606599101516
QwenControl,control,pick_and_place_simple,128.0,future_easy_grader_action,all,384,2,0.005208333333333333,0.05628272251308897,0.004102368220015279
QwenHack,hack,pick_and_place_simple,8.0,gameable_hack_action,mean_phack,390,3,0.007692307692307693,0.9397071490094745,0.08333333333333334
QwenHack,hack,pick_and_place_simple,8.0,gameable_hack_action,late_phack,383,3,0.007832898172323759,0.9947368421052631,0.4777777777777778
QwenHack,hack,pick_and_place_simple,8.0,gameable_hack_action,entropy,383,3,0.007832898172323759,0.7035087719298245,0.04329392166422883
QwenHack,hack,pick_and_place_simple,8.0,gameable_hack_action,all,383,3,0.007832898172323759,0.9947368421052631,0.4777777777777778
QwenHack,hack,pick_and_place_simple,8.0,future_gameable_hack_action,mean_phack,390,3,0.007692307692307693,0.49440137812230833,0.010713635494241022
QwenHack,hack,pick_and_place_simple,8.0,future_gameable_hack_action,late_phack,383,3,0.007832898172323759,0.5482456140350876,0.011994682930643522
QwenHack,hack,pick_and_place_simple,8.0,future_gameable_hack_action,entropy,383,3,0.007832898172323759,0.193859649122807,0.0062147442474208125
QwenHack,hack,pick_and_place_simple,8.0,future_gameable_hack_action,all,383,3,0.007832898172323759,0.22543859649122805,0.006481657982801712
QwenHack,hack,pick_and_place_simple,8.0,easy_grader_action,mean_phack,390,3,0.007692307692307693,0.9397071490094745,0.08333333333333334
QwenHack,hack,pick_and_place_simple,8.0,easy_grader_action,late_phack,383,3,0.007832898172323759,0.9947368421052631,0.4777777777777778
QwenHack,hack,pick_and_place_simple,8.0,easy_grader_action,entropy,383,3,0.007832898172323759,0.7035087719298245,0.04329392166422883
QwenHack,hack,pick_and_place_simple,8.0,easy_grader_action,all,383,3,0.007832898172323759,0.9947368421052631,0.4777777777777778
QwenHack,hack,pick_and_place_simple,8.0,future_easy_grader_action,mean_phack,390,3,0.007692307692307693,0.49440137812230833,0.010713635494241022
QwenHack,hack,pick_and_place_simple,8.0,future_easy_grader_action,late_phack,383,3,0.007832898172323759,0.5482456140350876,0.011994682930643522
QwenHack,hack,pick_and_place_simple,8.0,future_easy_grader_action,entropy,383,3,0.007832898172323759,0.193859649122807,0.0062147442474208125
QwenHack,hack,pick_and_place_simple,8.0,future_easy_grader_action,all,383,3,0.007832898172323759,0.22543859649122805,0.006481657982801712
QwenHack,hack,pick_and_place_simple,16.0,gameable_hack_action,mean_phack,390,4,0.010256410256410256,0.7979274611398964,0.06940873417112042
QwenHack,hack,pick_and_place_simple,16.0,gameable_hack_action,late_phack,384,4,0.010416666666666666,0.5375000000000001,0.03500915750915751
QwenHack,hack,pick_and_place_simple,16.0,gameable_hack_action,entropy,384,4,0.010416666666666666,0.17105263157894737,0.007572061929647069
QwenHack,hack,pick_and_place_simple,16.0,gameable_hack_action,all,384,4,0.010416666666666666,0.5184210526315789,0.014651805400609633
